"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 27 18:36:52 UTC 2026","Tue Jan 27 18:36:52 UTC 2026","200","","ui.InteractionElementsTests","","ui.InteractionElementsTests","submitForm","submitForm()",""
"broken","Tue Jan 27 18:36:45 UTC 2026","Tue Jan 27 18:36:46 UTC 2026","1764","","ui.HomePageTests","","ui.HomePageTests","chapterFourTest","chapterFourTest()",""
"broken","Tue Jan 27 18:37:00 UTC 2026","Tue Jan 27 18:37:00 UTC 2026","200","","ui.waitsTest","","ui.waitsTest","localStorageTest","localStorageTest()",""
"broken","Tue Jan 27 18:36:58 UTC 2026","Tue Jan 27 18:36:58 UTC 2026","200","","ui.waitsTest","","ui.waitsTest","isCookiesDisplayedTest","isCookiesDisplayedTest()",""
"broken","Tue Jan 27 18:36:52 UTC 2026","Tue Jan 27 18:36:52 UTC 2026","195","","ui.InteractionElementsTests","","ui.InteractionElementsTests","rightDropdownTest","rightDropdownTest()",""
"broken","Tue Jan 27 18:36:53 UTC 2026","Tue Jan 27 18:36:53 UTC 2026","199","","ui.InteractionElementsTests","","ui.InteractionElementsTests","checkBoxTest","checkBoxTest()",""
"passed","Tue Jan 27 18:36:54 UTC 2026","Tue Jan 27 18:36:55 UTC 2026","606","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
"broken","Tue Jan 27 18:36:59 UTC 2026","Tue Jan 27 18:36:59 UTC 2026","198","","ui.waitsTest","","ui.waitsTest","launchModalCloseTest","launchModalCloseTest()",""
"broken","Tue Jan 27 18:36:57 UTC 2026","Tue Jan 27 18:36:57 UTC 2026","199","","ui.waitsTest","","ui.waitsTest","shadowDomTest","shadowDomTest()",""
"broken","Tue Jan 27 18:36:53 UTC 2026","Tue Jan 27 18:36:53 UTC 2026","197","","ui.InteractionElementsTests","","ui.InteractionElementsTests","radioButtonTest","radioButtonTest()",""
"broken","Tue Jan 27 18:37:00 UTC 2026","Tue Jan 27 18:37:00 UTC 2026","197","","ui.waitsTest","","ui.waitsTest","loadingImagesTest","loadingImagesTest()",""
"broken","Tue Jan 27 18:37:00 UTC 2026","Tue Jan 27 18:37:00 UTC 2026","197","","ui.waitsTest","","ui.waitsTest","sessionStorageTest","sessionStorageTest()",""
"broken","Tue Jan 27 18:36:59 UTC 2026","Tue Jan 27 18:36:59 UTC 2026","195","","ui.waitsTest","","ui.waitsTest","launchModalSaveChangesTest","launchModalSaveChangesTest()",""
"broken","Tue Jan 27 18:36:54 UTC 2026","Tue Jan 27 18:36:54 UTC 2026","197","","ui.InteractionElementsTests","","ui.InteractionElementsTests","inputToFieldsTest","inputToFieldsTest()",""
"broken","Tue Jan 27 18:36:58 UTC 2026","Tue Jan 27 18:36:58 UTC 2026","200","","ui.waitsTest","","ui.waitsTest","loginFormTest","loginFormTest()",""
"broken","Tue Jan 27 18:36:52 UTC 2026","Tue Jan 27 18:36:52 UTC 2026","200","","ui.InteractionElementsTests","","ui.InteractionElementsTests","dragAndDropTest","dragAndDropTest()",""
"broken","Tue Jan 27 18:36:43 UTC 2026","Tue Jan 27 18:36:45 UTC 2026","1569","","ui.HomePageTests","","ui.HomePageTests","chapterEightTest","chapterEightTest()",""
"broken","Tue Jan 27 18:37:00 UTC 2026","Tue Jan 27 18:37:00 UTC 2026","195","","ui.waitsTest","","ui.waitsTest","iFramesTest","iFramesTest()",""
"broken","Tue Jan 27 18:36:58 UTC 2026","Tue Jan 27 18:36:58 UTC 2026","196","","ui.waitsTest","","ui.waitsTest","launchAlertTest","launchAlertTest()",""
"broken","Tue Jan 27 18:36:59 UTC 2026","Tue Jan 27 18:37:00 UTC 2026","207","","ui.waitsTest","","ui.waitsTest","launchPromptCancelTest","launchPromptCancelTest()",""
"broken","Tue Jan 27 18:36:36 UTC 2026","Tue Jan 27 18:36:38 UTC 2026","1586","","ui.HomePageTests","","ui.HomePageTests","chapterSevenTest","chapterSevenTest()",""
"broken","Tue Jan 27 18:36:55 UTC 2026","Tue Jan 27 18:36:57 UTC 2026","1868","","ui.WebFormTests","","ui.WebFormTests","inputToFieldsTest","inputToFieldsTest()",""
"passed","Tue Jan 27 18:36:46 UTC 2026","Tue Jan 27 18:36:48 UTC 2026","1385","","ui.HomePageTests","","ui.HomePageTests","allTheLocatorsTest","allTheLocatorsTest()",""
"broken","Tue Jan 27 18:36:58 UTC 2026","Tue Jan 27 18:36:59 UTC 2026","198","","ui.waitsTest","","ui.waitsTest","launchConfirmCancelTest","launchConfirmCancelTest()",""
"broken","Tue Jan 27 18:36:59 UTC 2026","Tue Jan 27 18:36:59 UTC 2026","199","","ui.waitsTest","","ui.waitsTest","launchPromptWithTextTest","launchPromptWithTextTest()",""
